Cover Crop,Goal
hairy vetch,nitrogen fixing
hairy vetch,build soil organic matter
rye,nutrient scavenging
rye,erosion control
rye,weed suppression
crimson clover,nitrogen fixing
crimson clover,build soil organic matter
radish,decompaction
radish,nutrient scavenging
sesbania,nitrogen fixing
sesbania,build soil organic matter
azolla,nitrogen fixing
azolla,pest/disease management
sunhemp,nitrogen fixing
sunhemp,build soil organic matter
cowpea,nitrogen fixing
cowpea,weed suppression
buckwheat,weed suppression
buckwheat,nutrient scavenging
sorghum sudan grass,erosion control
sorghum sudan grass,weed suppression
lablab,nitrogen fixing
lablab,build soil organic matter
mustard,pest/disease management
mustard,weed suppression
oats,erosion control
oats,weed suppression
sudan grass,erosion control
sudan grass,build soil organic matter
mucuna,nitrogen fixing
mucuna,build soil organic matter
field pea,nitrogen fixing
field pea,erosion control

